timestamp,Cores,RealAllocatedCores,SystemRealUtilization,ExceededCores,SystemUtilization,AllocatedCores,NewCores
1617228060,4.058333333339691,65,6.243589743599525,0,5.715962441323509,71,-60
1617228120,4.034863387958947,65,6.207482135321457,0,36.68057625417225,11,0
1617228180,4.008566731504997,65,6.167025740776919,0,36.441515740954515,11,0
1617228240,3.973559322042459,65,6.11316818775763,0,36.12326656402235,11,0
1617228300,4.687584699455968,71,6.602231971064744,0,42.61440635869062,11,0
1617228360,4.431694915248637,69,6.422746253983531,0,40.28813559316943,11,0
1617228420,4.06833333332499,65,6.258974358961522,0,36.984848484772634,11,0
1617228480,3.9364480874432752,65,6.056073980681962,0,35.78589170402978,11,0
1617228540,4.105000000004609,65,6.3153846153917055,0,37.31818181822372,11,0
1617228600,5.022808743152277,75,6.697078324203036,0,45.6618976650207,11,0
1617228660,3.775000000006161,65,5.807692307701787,0,34.31818181823783,11,0
1617228720,4.435000000001747,69,6.42753623188659,0,40.318181818197694,11,0
1617228780,3.961830601086589,65,6.095124001671675,0,36.016641828059896,11,0
1617228840,4.418502824864869,65,6.79769665363826,0,40.16820749877154,11,0
1617228900,4.558923775131267,71,6.421019401593334,0,41.444761592102424,11,0
1617228960,4.441836158189912,65,6.833594089522942,0,40.38032871081738,11,0
1617229020,4.234562841519287,65,6.514712063875826,0,38.496025831993514,11,0
1617229080,3.986864406785044,65,6.133637548900068,0,36.244221879864035,11,0
1617229140,3.9099999999976243,65,6.0153846153809605,0,35.545454545432946,11,0
1617229200,4.496695007876326,71,6.3333732505300375,0,40.879045526148424,11,0
1617229260,4.050000000005385,65,6.230769230777515,0,36.81818181823077,11,0
1617229320,3.8627822543197854,65,5.942741929722747,0,35.11620231199805,11,0
1617229380,4.263502824862489,69,6.1789896012499845,0,38.759116589658994,11,0
1617229440,3.8869746225780286,65,5.979960957812351,0,35.33613293252753,11,0
1617229500,4.09583606557614,71,5.768783190952311,0,37.23487332341946,11,0
1617229560,3.6386612021850695,65,5.597940311053954,0,33.07873820168245,11,0
1617229620,4.163615819206973,69,6.034225824937643,0,37.85105290188157,11,0
1617229680,4.19661202186635,65,6.456326187486691,0,38.15101838060318,11,0
1617229740,4.1983333333309565,69,6.084541062798488,0,38.166666666645064,11,0
1617229800,4.303503658410277,71,6.061272758324334,0,39.12276053100251,11,0
1617229860,4.247732240456194,69,6.15613368182057,0,38.61574764051085,11,0
1617229920,4.010141242930984,65,6.169448066047667,0,36.45582948119076,11,0
1617229980,4.011737982769792,65,6.171904588876602,0,36.470345297907194,11,0
1617230040,4.003559322041157,65,6.159322033909473,0,36.395993836737794,11,0
1617230100,4.489278688514644,71,6.322927730302316,0,40.81162444104222,11,0
1617230160,4.235869686026253,65,6.516722593886542,0,38.507906236602295,11,0
1617230220,4.873509308141827,65,7.497706627910502,0,44.30463007401661,11,0
1617230280,4.220169491524561,65,6.492568448499325,0,38.36517719567782,11,0
1617230340,4.193114754107079,65,6.450945775549352,0,38.11922503733708,11,0
1617230400,4.475803371296811,71,6.303948410277199,0,40.68912155724374,11,0
1617230460,4.210063906645524,65,6.477021394839268,0,38.273308242232034,11,0
1617230520,4.684857935454275,69,6.78964918181779,0,42.58961759503887,11,0
1617230580,3.9372374829434618,65,6.057288435297633,0,35.793068026758746,11,0
1617230640,4.024705623124655,65,6.1918548048071615,0,36.58823293749686,11,0
1617230700,4.299666666673603,71,6.055868544610708,0,39.08787878794185,11,0
1617230760,4.471592108924602,69,6.480568273803771,0,40.65083735386002,11,0
1617230820,3.8933953876046594,65,5.989839057853322,0,35.39450352367872,11,0
1617230880,4.405169491515186,69,6.384303610891573,0,40.04699537741078,11,0
1617230940,3.7333333333403678,65,5.743589743600565,0,33.939393939457894,11,0
1617231000,4.47703473186676,71,6.305682720939099,0,40.70031574424327,11,0
1617231060,3.8520000926238014,65,5.926153988652002,0,35.018182660216375,11,0
1617231120,3.8013068444916125,65,5.848164376140942,0,34.55733494992375,11,0
1617231180,3.975109289616751,65,6.11555275325654,0,36.1373571783341,11,0
1617231240,3.777090395476309,65,5.810908300732783,0,34.33718541342099,11,0
1617231300,5.263256830611122,71,7.41303778959313,0,47.84778936919202,11,0
1617231360,3.971892655364801,65,6.110604085176617,0,36.10811504877092,11,0
1617231420,4.022056589799051,65,6.187779368921617,0,36.56415081635501,11,0
1617231480,4.204808743149949,65,6.468936527922997,0,38.22553402863589,11,0
1617231540,3.18,44,7.227272727272728,0,28.909090909090914,11,-4
