timestamp,Cores,CoresMax,RealAllocatedCores,RealSystemUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1617228060,4.058333333339691,21.76,65,6.243589743599525,5.715962441323509,71,0,-60,0,0
1617228120,4.034863387958947,22.4,65,6.207482135321457,36.68057625417225,11,0,-0,0,6
1617228180,4.008566731504997,21.76,65,6.167025740776919,36.441515740954515,11,0,-0,0,5
1617228240,3.973559322042459,21.12,65,6.11316818775763,36.12326656402235,11,0,-0,0,4
1617228300,4.687584699455968,28.88,71,6.602231971064744,42.61440635869062,11,0,-0,0,3
1617228360,4.431694915248637,23.799999999999997,69,6.422746253983531,40.28813559316943,11,0,-0,0,2
1617228420,4.06833333332499,24.32,65,6.258974358961522,36.984848484772634,11,0,-0,0,1
1617228480,3.9364480874432752,21.12,65,6.056073980681962,35.78589170402978,11,0,-0,0,0
1617228540,4.105000000004609,21.76,65,6.3153846153917055,37.31818181822372,11,0,-0,0,0
1617228600,5.022808743152277,24,75,6.697078324203036,45.6618976650207,11,0,0,0,0
1617228660,3.775000000006161,19.2,65,5.807692307701787,34.31818181823783,11,0,-0,0,0
1617228720,4.435000000001747,23.12,69,6.42753623188659,40.318181818197694,11,0,-0,0,0
1617228780,3.961830601086589,17.28,65,6.095124001671675,36.016641828059896,11,0,-0,0,0
1617228840,4.418502824864869,22.4,65,6.79769665363826,40.16820749877154,11,0,-0,0,0
1617228900,4.558923775131267,21.28,71,6.421019401593334,41.444761592102424,11,0,-0,0,0
1617228960,4.441836158189912,21.12,65,6.833594089522942,40.38032871081738,11,0,-0,0,0
1617229020,4.234562841519287,19.84,65,6.514712063875826,38.496025831993514,11,0,-0,0,0
1617229080,3.986864406785044,19.84,65,6.133637548900068,36.244221879864035,11,0,-0,0,0
1617229140,3.9099999999976243,21.12,65,6.0153846153809605,35.545454545432946,11,0,-0,0,0
1617229200,4.496695007876326,22.04,71,6.3333732505300375,40.879045526148424,11,0,-0,0,0
1617229260,4.050000000005385,20.48,65,6.230769230777515,36.81818181823077,11,0,-0,0,0
1617229320,3.8627822543197854,19.84,65,5.942741929722747,35.11620231199805,11,0,-0,0,0
1617229380,4.263502824862489,23.799999999999997,69,6.1789896012499845,38.759116589658994,11,0,-0,0,0
1617229440,3.8869746225780286,20.48,65,5.979960957812351,35.33613293252753,11,0,-0,0,0
1617229500,4.09583606557614,27.36,71,5.768783190952311,37.23487332341946,11,0,-0,0,0
1617229560,3.6386612021850695,18.56,65,5.597940311053954,33.07873820168245,11,0,-0,0,0
1617229620,4.163615819206973,18.36,69,6.034225824937643,37.85105290188157,11,0,-0,0,0
1617229680,4.19661202186635,26.24,65,6.456326187486691,38.15101838060318,11,0,-0,0,0
1617229740,4.1983333333309565,20.4,69,6.084541062798488,38.166666666645064,11,0,-0,0,0
1617229800,4.303503658410277,24.32,71,6.061272758324334,39.12276053100251,11,0,-0,0,0
1617229860,4.247732240456194,23.12,69,6.15613368182057,38.61574764051085,11,0,-0,0,0
1617229920,4.010141242930984,20.48,65,6.169448066047667,36.45582948119076,11,0,-0,0,0
1617229980,4.011737982769792,21.12,65,6.171904588876602,36.470345297907194,11,0,-0,0,0
1617230040,4.003559322041157,19.84,65,6.159322033909473,36.395993836737794,11,0,-0,0,0
1617230100,4.489278688514644,22.8,71,6.322927730302316,40.81162444104222,11,0,-0,0,0
1617230160,4.235869686026253,19.2,65,6.516722593886542,38.507906236602295,11,0,-0,0,0
1617230220,4.873509308141827,24.32,65,7.497706627910502,44.30463007401661,11,0,-0,0,0
1617230280,4.220169491524561,19.2,65,6.492568448499325,38.36517719567782,11,0,-0,0,0
1617230340,4.193114754107079,21.12,65,6.450945775549352,38.11922503733708,11,0,-0,0,0
1617230400,4.475803371296811,20.520000000000003,71,6.303948410277199,40.68912155724374,11,0,-0,0,0
1617230460,4.210063906645524,19.84,65,6.477021394839268,38.273308242232034,11,0,-0,0,0
1617230520,4.684857935454275,25.16,69,6.78964918181779,42.58961759503887,11,0,-0,0,0
1617230580,3.9372374829434618,20.48,65,6.057288435297633,35.793068026758746,11,0,-0,0,0
1617230640,4.024705623124655,21.76,65,6.1918548048071615,36.58823293749686,11,0,-0,0,0
1617230700,4.299666666673603,22.04,71,6.055868544610708,39.08787878794185,11,0,-0,0,0
1617230760,4.471592108924602,23.12,69,6.480568273803771,40.65083735386002,11,0,-0,0,0
1617230820,3.8933953876046594,20.48,65,5.989839057853322,35.39450352367872,11,0,-0,0,0
1617230880,4.405169491515186,21.76,69,6.384303610891573,40.04699537741078,11,0,-0,0,0
1617230940,3.7333333333403678,19.2,65,5.743589743600565,33.939393939457894,11,0,-0,0,0
1617231000,4.47703473186676,23.56,71,6.305682720939099,40.70031574424327,11,0,-0,0,0
1617231060,3.8520000926238014,21.76,65,5.926153988652002,35.018182660216375,11,0,-0,0,0
1617231120,3.8013068444916125,21.76,65,5.848164376140942,34.55733494992375,11,0,-0,0,0
1617231180,3.975109289616751,23.04,65,6.11555275325654,36.1373571783341,11,0,-0,0,0
1617231240,3.777090395476309,18.56,65,5.810908300732783,34.33718541342099,11,0,-0,0,0
1617231300,5.263256830611122,31.919999999999998,71,7.41303778959313,47.84778936919202,11,0,0,0,0
1617231360,3.971892655364801,19.84,65,6.110604085176617,36.10811504877092,11,0,-0,0,0
1617231420,4.022056589799051,22.4,65,6.187779368921617,36.56415081635501,11,0,-0,0,0
1617231480,4.204808743149949,22.4,65,6.468936527922997,38.22553402863589,11,0,-0,0,0
1617231540,3.18,11.52,44,7.227272727272728,28.909090909090914,11,0,-4,0,0
