timestamp,Cores,RealAllocatedCores,SystemRealUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1651513140,4.895124227184638,640,0.7648631604975997,2.5495438683253324,192,0,-180,0,0
1651513200,24.026426522018127,640,3.7541291440653324,7.508258288130665,320,0,0,0,6
1651513260,37.53389012927993,640,5.86467033269999,11.72934066539998,320,0,0,0,5
1651513320,30.089086733798894,640,4.701419802156077,9.402839604312154,320,0,0,0,4
1651513380,19.342119600228884,640,3.022206187535763,6.044412375071526,320,0,0,0,3
1651513440,20.783209738063782,640,3.247376521572466,6.494753043144932,320,0,0,0,2
1651513500,1.5992019511468891,640,0.24987530486670143,0.49975060973340285,320,0,0,0,1
1651513560,1.7653333333333332,640,0.2758333333333333,0.5516666666666666,320,0,-316,0,0
1651513620,2.518933333333333,640,0.3935833333333333,0.7871666666666666,320,0,0,0,6
1651513680,9.02585904901585,640,1.4102904764087265,2.820580952817453,320,0,0,0,5
1651513740,15.105586578001478,640,2.360247902812731,4.720495805625462,320,0,0,0,4
1651513800,15.181605320112075,640,2.3721258312675118,4.7442516625350235,320,0,0,0,3
1651513860,1.8056008889037038,640,0.2821251388912037,0.5642502777824074,320,0,0,0,2
1651513920,1.5573326089039254,640,0.24333322014123837,0.48666644028247674,320,0,0,0,1
1651513980,1.6525332444459255,640,0.25820831944467587,0.5164166388893517,320,0,-316,0,0
1651514040,8.089333333333332,640,1.2639583333333333,2.5279166666666666,320,0,0,0,6
1651514100,14.605082933836004,640,2.2820442084118757,4.564088416823751,320,0,0,0,5
1651514160,20.28987448494363,640,3.1702928882724426,6.340585776544885,320,0,0,0,4
1651514220,2.2778666666666663,640,0.3559166666666666,0.7118333333333332,320,0,0,0,3
1651514280,1.5965317022692584,640,0.24945807847957163,0.49891615695914326,320,0,0,0,2
1651514340,1.585602302260593,640,0.24775035972821766,0.4955007194564353,320,0,0,0,1
1651514400,5.02933043115948,640,0.7858328798686688,1.5716657597373376,320,0,-308,0,0
